Word,Relative Frequency,Minimum Gap,Count
merryweather,11364.389685,36,12
foolscap,6425.294070,259,2
abutted,4445.254469,3429,2
jabez,3905.094065,239,9
pawnbroker,3351.037984,982,6
napoleons,3222.151908,36,2
coburg,3025.242624,29,9
oclock,2792.531653,227,3
saxe,1883.148147,29,6
spaulding,1818.935023,30,8
cest,792.063523,2,2
rending,704.910903,148,2
holmes,501.927211,4,53
burrowing,414.890417,9,2
lurid,405.619123,82,2
britannica,396.031762,166,2
billet,387.575568,428,2
remarked,335.965248,35,12
wrinkled,326.726203,136,3
gazed,322.215191,4271,2
frock,286.979537,5615,2
lengthened,280.692615,4815,2
cocked,255.954723,4805,2
cellar,246.276033,2,9
snuff,231.720712,116,3
sherlock,202.809561,90,10
advertisement,188.859077,38,12
keenly,181.514557,2790,2
benefactor,177.087373,6182,2
vacancy,170.550591,66,7
sprang,165.013234,2251,2
lantern,160.553417,48,6
bullion,144.249979,1675,2
armchair,134.455228,5630,2
tint,131.215343,200,2
commonplace,127.130818,10,3
revolver,127.130818,541,3
whispered,118.809529,372,3
stout,115.860356,110,3
crate,110.754645,177,3
daring,108.691352,235,5
pavement,107.035611,166,4
reasoned,106.773269,5562,2
exceedingly,97.239942,1325,2
nominal,82.092011,6,3
singular,79.206352,84,4
pierced,75.631066,3927,2
formidable,73.093110,395,3
duncan,72.605823,114,7
blazing,72.124990,1464,2
crib,72.124990,4856,2
watson,72.124990,115,10
wilson,70.678235,16,22
vacancies,70.491090,143,2
peculiar,69.813291,544,3
answered,67.742275,53,13
faded,60.842868,416,3
fiery,58.553083,2183,2
headed,58.289182,10,19
utmost,53.517806,8013,2
clay,50.265570,44,9
cardboard,47.662466,28,2
copying,45.473376,5014,2
chronicle,43.476541,1138,2
trousers,43.476541,4670,2
upon,40.428242,3,49
vincent,39.459686,369,5
despair,32.952718,3710,2
companion,32.269255,214,4
trustees,31.476513,296,2
premises,31.116781,1333,3
ross,31.116781,114,7
considerable,30.592341,480,5
yourselves,30.085286,5266,2
gentleman,30.043789,36,4
forehead,29.395070,3219,2
preparations,29.395070,1226,2
beg,29.171982,1136,3
assistant,29.042329,30,14
knees,28.849996,487,4
interfere,28.697954,5146,2
shiny,28.697954,5326,2
hopkins,28.069261,854,2
rogue,28.069261,7,2
remarkable,27.925317,831,5
vault,27.432931,646,2
suburban,26.791817,3356,2
wont,26.563106,1591,3
purely,25.930651,6,3
motive,25.007746,12,2
cab,24.446405,1502,2
profession,24.201941,114,3
fortunate,23.345924,1846,2
handy,23.345924,2561,2
jones,22.309052,30,11
expedition,22.294521,938,2
pal,22.294521,57,2
spark,22.294521,82,2
observed,22.226272,640,5
mysterious,22.076095,15,3
fortune,21.781747,313,4
wished,21.781747,3654,2
visitor,21.354654,4088,2
wrist,21.354654,7103,2
bizarre,20.744521,4583,2
ive,20.744521,28,2
nerves,20.744521,133,2
seized,20.356773,5256,2
suited,20.356773,1026,2
listened,20.168284,85,3
chair,20.003645,57,9
collar,19.801588,7342,2
questioning,19.801588,631,2
folk,19.682301,493,3
baker,19.219188,255,3
rubber,19.219188,18,3
extraordinary,19.023360,1005,4
square,18.885908,29,12
altogether,18.616878,2733,2
ink,18.616878,193,2
pipe,18.355405,44,3
wages,18.355405,3114,3
gently,18.151456,13,2
passage,17.565925,60,3
cared,16.885075,6787,2
affair,16.336310,485,3
goodness,16.134627,1166,2
stones,16.015990,17,3
criminals,15.448047,1507,2
crop,15.448047,1782,2
morris,15.448047,79,2
quietly,15.448047,6636,2
stake,15.448047,22,2
knee,15.267580,3602,3
red,15.111738,3,29
emerged,15.021894,912,2
shade,15.021894,54,2
spirits,15.021894,2134,2
instant,14.919005,1987,3
thin,14.767286,604,4
offices,14.424998,126,4
pocket,14.424998,278,4
coat,14.267520,1854,3
colour,14.098218,298,4
cried,14.052740,28,2
merely,13.962658,1460,3
pope,13.613592,1137,3
